Abbediengen terrasse,Ullern
Abbediengveien,Ullern
Abbedikollen,Ullern
Abbedisvingen,Ullern
Abels gate,Frogner
Abels gate,Frogner
Abildsøfaret,Østensjø
Abildsøveien,Østensjø
Adam Hiorths vei,Grünerløkka
Admiral Børresens vei,Frogner
Adolf Hedins vei,Alna / Østensjø
Adventveien,Ullern
Agathe Grøndahls gate,Sagene
Agdergata,Gamle Oslo
Agmund Bolts vei,Alna
Agronomveien,Østensjø
Akebakkeskogen,Nordre Aker
Akerlia,Grorud
Akersbakken,St. Hanshaugen
Akersborg terrasse,Nordre Aker
Akersgata,Sentrum / St. Hanshaugen
Akershusstranda,Sentrum
Akersveien,St. Hanshaugen
Alfaset 1. industrivei,Alna
Alfaset 2. industrivei,Alna
Alfaset 3. industrivei,Alna
Alfasetveien,Alna
Alf Bjerckes vei,Bjerke
Alfred Groruds vei,Grorud
Algier,Sentrum
Almeveien,Nordre Aker
Alnabruveien,Alna
Alnafetgata,Gamle Oslo
Alnagata,Gamle Oslo
Alnaparkveien,Alna
Alundamveien,Grorud
Alunsjøveien,Grorud
Alvheimveien,Nordstrand
Amagerveien,Vestre Aker
Ammerudgrenda,Grorud
Ammerudhellinga,Grorud
Ammerudveien,Grorud
Amtmann Meinichs gate,Sagene
Amund Hellands vei,Nordstrand
Amunds vei,Stovner
Anders Winsvolds vei,Grünerløkka
Andreas Kremmers vei,Stovner
Ankerveien,Vestre Aker
Anna Pleyms vei,Stovner
Anna Rogstads vei,Bjerke
Anna Sethnes gate,Sagene
Anne Brannfjelds vei,Nordstrand
Anne Kures sti,Vestre Aker
Anne Maries vei,Vestre Aker
Ansgar Sørlies vei,Grünerløkka
Antenneveien,Nordstrand
Anton Schjøths gate,St. Hanshaugen
Anton Tschudis vei,Bjerke
Apalveien,Frogner
Apalløkkveien,Grorud
Apotekergata,St. Hanshaugen
Arbeidergata,Sentrum
Arbins gate,Frogner
Arbos gate,Frogner
Arctanders gate,Gamle Oslo
Arendalsgata,Sagene
Arilds vei,Nordre Aker
Arildsvingen,Nordre Aker
Arkitekt Steckmests vei,Nordstrand
Armauer Hansens gate,St. Hanshaugen
Arnebråtveien,Vestre Aker
Arne Garborgs vei,Østensjø
Arnes vei,Nordre Aker
Arnljot Gellines vei,Gamle Oslo
Arnstein Arnebergs vei,Ullern
Arnulf Øverlands vei,Vestre Aker
Arthur Nordlies vei,Grorud
Arups gate,Gamle Oslo
Arvesetveien,Alna
Asalveien,Nordre Aker
Asbjørnsens gate,St. Hanshaugen / Sagene
Asbjørnsens gate,Frogner
Asbjørnsens vei,Nordre Aker
Aschehougs vei,Nordre Aker
Askekroken,Ullern
Askeladdveien,Nordre Aker
Askergata,Sagene
Askeveien,Ullern
Aslakveien,Vestre Aker
Aslaug Vaas veg,Vestre Aker
Aspehaugveien,Vestre Aker
Asperudlia,Søndre Nordstrand
Asperudtoppen,Søndre Nordstrand
Asperudveien,Søndre Nordstrand
Asperudåsen,Søndre Nordstrand
Aspestien,Nordstrand
Astrids vei,Ullern
Auberts gate,Grünerløkka
Aud Schønemanns vei,Grünerløkka
August Cappelens gate,St. Hanshaugen
Aurskoggata,Gamle Oslo
Austliveien,Vestre Aker
Avlangruds vei,Søndre Nordstrand
Avstikkeren,Nordstrand
Axel Brinchs vei,Østensjø
Axel Flinders vei,Nordstrand
Axel Huitfeldts vei,Nordstrand
Axel Maurers vei,Grünerløkka
Badebakken,Sagene
Badehusgaten,Frogner
Badstugata,St. Hanshaugen
Bagerengveien,Gamle Oslo
Baglerfaret,Nordstrand
Baglerstredet,Gamle Oslo
Bakkehaugveien,Nordre Aker
Bakkerudveien,Nordstrand
Bakketoppen,Nordstrand
Bakkeveien,Ullern
Balchens gate,Frogner
Balders gate,Frogner
Ballplassveien,Nordstrand
Bamseveien,Vestre Aker
Baneveien,Østensjø
Banksjef Frølichs gate,St. Hanshaugen
Barliveien,Nordre Aker
Barnehjemsveien,Nordstrand
Barnålveien,Nordstrand
Bauneveien,Nordstrand
Beddingen,Frogner
Bedriftsveien,Grorud
Behrens’ gate,Frogner
Beiteveien,Østensjø
Bekkefaret,Ullern
Bekkelagskaia,Nordstrand
Bekkelagsterrassen,Nordstrand
Bekkelagsveien,Nordstrand
Bekkelibakken,Ullern
Bekkelikroken,Ullern
Bekkelistubben,Ullern
Bekkeliveien,Ullern
Bekkenstenveien,Grorud
Bekkeveien,Østensjø
Bekkevollveien,Stovner
Belgerudveien,Grorud
Benneches gate,St. Hanshaugen
Bentsebrugata,Sagene
Bentsegata,Sagene
Benveien,Nordstrand
Bergendalsveien,Oslomarka
Bergensgata,Sagene
Bergensveien,Grorud
Berggaten,St. Hanshaugen
Bergkrystallen,Nordstrand
Bergljots vei,Grünerløkka
Berglyveien,Søndre Nordstrand
Bergrådveien,Nordre Aker
Bergsalléen,Nordre Aker
Bergslia,Nordre Aker
Bergsliens gate,Frogner
Bergstien,St. Hanshaugen
Bergtunveien,Stovner
Bergverksgata,Grünerløkka
Bernhard Getz' gate,St. Hanshaugen
Bernhard Herres vei,Vestre Aker
Bernhusveien,Nordstrand
Bernt Ankers gate,St. Hanshaugen
Bernt Knudsens vei,Nordstrand
Bertramjordet,Søndre Nordstrand
Bertrand Narvesens vei,Gamle Oslo / Grünerløkka
Bestemorstien,Nordstrand
Bestum skolevei,Ullern
Bestumstubben,Ullern
Bestum tverrvei,Ullern
Bestumveien,Ullern
Bestumåsen,Ullern
Betzy Kjelsbergs vei,Nordre Aker
Beverkollen,Søndre Nordstrand
Beverveien,Bjerke
Bidenkaps gate,St. Hanshaugen
Biermanns gate,Sagene
Bikuben,Stovner
Bilittkroken,Søndre Nordstrand
Binneveien,Vestre Aker
Birch-Reichenwalds gate,Sagene
Birger Olivers vei,Nordstrand
Birger Aaneruds vei,Oslomarka
Birgitte Hammers vei,Nordstrand
Birkebeingata,Gamle Oslo
Biskop Grimelunds vei,Vestre Aker
Biskop Gunnerus' gate,Sentrum
Biskop Heuchs vei,Nordre Aker
Biskop Jens Nilssøns gate,Gamle Oslo
Bislettgata,St. Hanshaugen
Bispegata,Sentrum / Gamle Oslo
Bispeluelia,Søndre Nordstrand
Bisp Nikolas' gate,Gamle Oslo
Bjartveien,Østensjø
Bjerggaten,St. Hanshaugen
Bjerkastien,Grorud
Bjerkealléen,Nordre Aker
Bjerkebakken,Vestre Aker
Bjerkefaret,Nordstrand
Bjerkelia,Nordstrand
Bjerkeliveien,Stovner
Bjerkelundgata,Grünerløkka
Bjerregaards gate,St. Hanshaugen
Bjerringbakken,Nordstrand
Bjølsengata,Sagene
Bjørkehavna,Oslomarka
Bjørn Bondes vei,Søndre Nordstrand
Bjørndalsjordet,Søndre Nordstrand
Bjørnefaret,Søndre Nordstrand
Bjørnehiet,Vestre Aker
Bjørnerabben,Ullern
Bjørnerudveien,Søndre Nordstrand
Bjørn Farmanns gate,Frogner
Bjørnheimveien,Stovner
Bjørn Lies vei,Søndre Nordstrand
Bjørn Magnussons vei,Søndre Nordstrand
Bjørnslettstubben,Ullern
Bjørnslettveien,Ullern
Bjørnstadbakken,Alna
Bjørn Stallares vei,Grünerløkka
Bjørnveien,Vestre Aker
Bjørnåsveien,Søndre Nordstrand
Blakkens vei,Søndre Nordstrand
Blindernveien,St. Hanshaugen / Nordre Aker
Blokkaveien,Ullern
Blytts gate,Grünerløkka
Blåbærsvingen,Vestre Aker
Blåsbortveien,Nordre Aker
Blåskjellveien,Nordstrand
Blåveisbakken,Vestre Aker
Bodøgata,Grünerløkka
Boecks gate,Gamle Oslo
Bogerudslyngen,Østensjø
Bogerudveien,Østensjø
Bogstadveien,Frogner
Bolette brygge,Frogner
Bolteløkka allé,St. Hanshaugen
Bomveien,Oslomarka
Borgenbakken,Vestre Aker
Borgensgangen,Grünerløkka
Borgenveien,Vestre Aker
Borger Withs gate,Sagene
Borgestadveien,Nordre Aker
Borggata,Gamle Oslo
Brageveien,St. Hanshaugen
Brandts gate,St. Hanshaugen
Brannfjellveien,Nordstrand
Brannvaktveien,Nordre Aker
Brantenborgveien,Vestre Aker
Brattbakken,Nordstrand
Brattelia,Nordre Aker
Brattlistubben,Søndre Nordstrand
Brattoddveien,Nordstrand
Brattvollveien,Nordstrand
Bredes vei,Stovner
Bredo Stabells vei,Nordre Aker
Bredtvetveien,Bjerke
Bregneveien,Nordre Aker
Breidablikkveien,Nordstrand
Breiens vei,Nordstrand
Breigata,Gamle Oslo
Breisjåveien,Grünerløkka
Breivollveien,Alna
Brekkelia,Nordre Aker
Brekkeveien,Nordre Aker
Brennagrenda,Søndre Nordstrand
Brennastubben,Søndre Nordstrand
Brennaveien,Søndre Nordstrand
Brenneriveien,Grünerløkka
Brettevilles gate,Sagene
Brinken,Gamle Oslo
Briskebyveien,Frogner
